D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396]                                                         Network Layer Information Table                                                      
D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396] ID   OpType             DataType Target InputShape                               OutputShape            Cycles(DDR/NPU/Total)    RW(KB)       FullName        
D RKNN: [20:50:03.396] --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
D RKNN: [20:50:03.396] 0    InputOperator      INT64    CPU    \                                        (5,30)                 0/0/0                    0            InputOperator:prev_output_tokens
D RKNN: [20:50:03.396] 1    InputOperator      FLOAT16  CPU    \                                        (30,5,640)             0/0/0                    0            InputOperator:encoder_out
D RKNN: [20:50:03.396] 2    InputOperator      FLOAT16  CPU    \                                        (30,5,640)             0/0/0                    0            InputOperator:onnx::Concat_6
D RKNN: [20:50:03.396] 3    Reshape            INT64    CPU    (5,30),(4)                               (1,5,1,30)             0/0/0                    1            Reshape:prev_output_tokens_rs
D RKNN: [20:50:03.396] 4    Equal              INT64    CPU    (1,5,1,30),(1,5,1,30)                    (1,5,1,30)             0/0/0                    2            Equal:/model/embed_positions/Equal
D RKNN: [20:50:03.396] 5    Not                INT8     CPU    (1,5,1,30)                               (1,5,1,30)             0/0/0                    0            Not:/model/embed_positions/Not
D RKNN: [20:50:03.396] 6    Cast               INT8     CPU    (1,5,1,30)                               (1,5,1,30)             0/0/0                    0            Cast:/model/embed_positions/Cast_1
D RKNN: [20:50:03.396] 7    Cast               INT32    CPU    (1,5,1,30)                               (1,5,1,30)             0/0/0                    0            Cast:/model/embed_positions/Cast_2
D RKNN: [20:50:03.396] 8    Add                INT64    CPU    (1,5,1,30),(1,1,1,1)                     (1,5,1,30)             0/0/0                    1            Add:/model/embed_positions/Add
D RKNN: [20:50:03.396] 9    Reshape            INT64    NPU    (1,5,1,30),(1)                           (150)                  0/0/0                    1            Reshape:/model/embed_positions/Reshape
D RKNN: [20:50:03.396] 10   Gather             FLOAT16  CPU    (1,1026,1,640),(150)                     (1,150,1,640)          0/0/0                    1283         Gather:/model/embed_positions/Gather
D RKNN: [20:50:03.396] 11   Slice              FLOAT16  NPU    (1,150,1,640),(1),(1),(1),(1)            (1,150,1,512)          0/0/0                    190          Slice:/model/Slice
D RKNN: [20:50:03.396] 12   Gather             FLOAT16  CPU    (49600,512),(5,30)                       (5,30,512)             0/0/0                    49601        Gather:/model/embed_tokens/Gather
D RKNN: [20:50:03.396] 13   Reshape            FLOAT16  NPU    (1,150,1,512),(4)                        (5,30,1,512)           0/0/0                    152          Reshape:/model/Slice_output_0_rs
D RKNN: [20:50:03.396] 14   Reshape            FLOAT16  NPU    (5,30,512),(4)                           (5,30,1,512)           0/0/0                    150          Reshape:/model/embed_tokens/Gather_output_0_rs
D RKNN: [20:50:03.396] 15   Mul                FLOAT16  NPU    (5,30,1,512),(1,1,1,1)                   (5,30,1,512)           0/0/0                    160          Mul:/model/Mul  
D RKNN: [20:50:03.396] 16   Add                FLOAT16  NPU    (5,30,1,512),(5,30,1,512)                (5,30,1,512)           0/0/0                    320          Add:/model/Add  
